id,obs_tombo,tombo_tipo
9708,duplicata,DUPLICATA
9717,duplicata,DUPLICATA
9723,duplicata,DUPLICATA
9724,duplicata,DUPLICATA
9725,duplicata,DUPLICATA
9726,unicata,UNICATA
9731,duplicata,DUPLICATA
9759,duplicata,DUPLICATA
9799,duplicata,DUPLICATA
9803,duplicata,DUPLICATA
9812,duplicata,DUPLICATA
9819,duplicata,DUPLICATA
9832,duplicata,DUPLICATA
9834,duplicata,DUPLICATA
9836,duplicata,DUPLICATA
9838,duplicata,DUPLICATA
9839,duplicata,DUPLICATA
9845,duplicata,DUPLICATA
9850,duplicata,DUPLICATA
9854,duplicata,DUPLICATA
9862,duplicata,DUPLICATA
9863,duplicata,DUPLICATA
9867,duplicata,DUPLICATA
9890,duplicata,DUPLICATA
9895,duplicata,DUPLICATA
9896,duplicata,DUPLICATA
9899,duplicata,DUPLICATA
9901,duplicata,DUPLICATA
9903,duplicata,DUPLICATA
9914,duplicata,DUPLICATA
9921,duplicata,DUPLICATA
9926,duplicata,DUPLICATA
9928,duplicata,DUPLICATA
9936,duplicata,DUPLICATA
9937,duplicata,DUPLICATA
9964,unicata,UNICATA
9971,unicata,UNICATA
9972,unicata,UNICATA
9973,unicata,UNICATA
10002,duplicata,DUPLICATA
10008,duplicata,DUPLICATA
10029,duplicata,DUPLICATA
10036,duplicata,DUPLICATA
10053,duplicata,DUPLICATA
10064,duplicata,DUPLICATA
10067,duplicata,DUPLICATA
10086,duplicata,DUPLICATA
10087,duplicata,DUPLICATA
10090,duplicata,DUPLICATA
10091,duplicata,DUPLICATA
10106,duplicata,DUPLICATA
10135,duplicata,DUPLICATA
10145,duplicata,DUPLICATA
10186,unicata,UNICATA
10189,unicata,UNICATA
10216,duplicata,DUPLICATA
10221,duplicata,DUPLICATA
10238,duplicata,DUPLICATA
10246,duplicata,DUPLICATA
10253,duplicata,DUPLICATA
10270,unicata,UNICATA
10285,unicata,UNICATA
10298,duplicata,DUPLICATA
10299,duplicata,DUPLICATA
10300,duplicata,DUPLICATA
10303,duplicata,DUPLICATA
10304,unicata,UNICATA
10305,duplicata,DUPLICATA
10343,duplicata,DUPLICATA
10356,unicata,UNICATA
10361,duplicata,DUPLICATA
10366,duplicata,DUPLICATA
10367,duplicata,DUPLICATA
10368,duplicata,DUPLICATA
10374,duplicata,DUPLICATA
10377,duplicata,DUPLICATA
10378,duplicata,DUPLICATA
10380,duplicata,DUPLICATA
10387,duplicata,DUPLICATA
10393,duplicata,DUPLICATA
10447,duplicata,DUPLICATA
10476,duplicata,DUPLICATA
10480,duplicata,DUPLICATA
