"CODIGO","CIDADE","ESTADO","PAIS"
647,Ponta Grossa,PR,Brasil
648,Caetité,BA,Brasil
649,Capitão Leônidas Marques,PR,Brasil
650,Curitiba,PR,Brasil
651,Tijucas do Sul,PR,Brasil
652,Camaçari,BA,Brasil
653,Campo Mourão,PR,Brasil
654,Campina Grande do Sul,PR,Brasil
655,Morretes,PR,Brasil
656,Bocaiúva do Sul,PR,Brasil
657,Santa Luzia,BA,Brasil
658,Pitanga,PR,Brasil
659,Porto Barreiro,PR,Brasil
660,Iretama,PR,Brasil
661,Carmo do Rio Claro,MG,Brasil
663,Carmo do Rio Claro,MG,Brasil
662,Carmo do Rio Claro,MG,Brasil
664,Carmo do Rio Claro,MG,Brasil
665,Ponta Grossa,PR,Brasil
666,Ponta Grossa,PR,Brasil
667,Arapoti,PR,Brasil
668,Dois Vizinhos,PR,Brasil
669,Ubiratã,PR,Brasil
670,Nerópolis,GO,Brasil
671,Luiziana,PR,Brasil
672,Medianeira,PR,Brasil
673,Ubiratã,PR,Brasil
674,Campo Mourão,PR,Brasil
675,Campo Mourão,PR,Brasil
676,Pontal do Paraná,PR,Brasil
677,Flores,GO,Brasil
678,Almas,TO,Brasil
679,Macaúbas,BA,Brasil
680,Matinhos,PR,Brasil
681,Campina Grande do Sul,PR,Brasil
682,Padre Bernardo,GO,Brasil
683,São Desidério,BA,Brasil
684,Ibipeba,BA,Brasil
685,Dois Vizinhos,PR,Brasil
686,Ventania,PR,Brasil
687,Campo Mourão,PR,Brasil
688,Niquelândia,GO,Brasil
689,Niquelândia,GO,Brasil
690,Arinos,MG,Brasil
691,Niquelândia,GO,Brasil
692,Teresina de Goiás,GO,Brasil
693,Niquelândia,GO,Brasil
694,Campos Belos,GO,Brasil
695,Farol,PR,Brasil
696,Farol,PR,Brasil
697,Farol,PR,Brasil
698,Campo Mourão,PR,Brasil
699,Campo Mourão,PR,Brasil
700,Campo Mourão,PR,Brasil
701,Tunas do Paraná,PR,Brasil
702,Araruna,PR,Brasil
703,Arinos,MG,Brasil
704,Tuneiras do Oeste,PR,Brasil
705,Caracol,MS,Brasil
706,Luiziana,PR,Brasil
707,Campo Mourão,PR,Brasil
708,Campo Mourão,PR,Brasil
709,Janiópolis,PR,Brasil
710,Campo Mourão,PR,Brasil
711,Foz do Iguaçú,PR,Brasil
712,Ubiratã,PR,Brasil
713,Goioerê,PR,Brasil
714,Luiziana,PR,Brasil
715,Curitiba,PR,Brasil
716,Garuva,SC,Brasil
