CODIGO,CIDADE,ESTADO,PAIS
723,NI,GOIAS,BRASIL
724,4104303,,BRASIL
725,4104303,,BRASIL
726,4109609,,BRASIL
727,5002209,,BRASIL
728,4203303,,BRASIL
729,4118808,,BRASIL
730,4106555,,BRASIL
731,4104303,,BRASIL
732,NI,PARANA,BRASIL
733,NI,SANTA CATARINA,BRASIL
734,4113205,,BRASIL
735,4107504,,BRASIL
736,4125506,,BRASIL
737,4108601,,BRASIL
738,4127106,,BRASIL
739,4104303,,BRASIL
740,NI,GOIAS,BRASIL
741,4106555,,BRASIL
742,4104303,,BRASIL
743,4104253,,BRASIL
744,4104006,,BRASIL
745,4113304,,BRASIL
746,4104303,,BRASIL
747,4104204,,BRASIL
748,4104253,,BRASIL
749,4104253,,BRASIL
750,4104253,,BRASIL
751,4104253,,BRASIL
752,4104303,,BRASIL
753,4104303,,BRASIL
754,4118808,,BRASIL
755,4107504,,BRASIL
756,4104303,,BRASIL
757,4202453,,BRASIL
758,4202453,,BRASIL
759,4202453,,BRASIL
760,4202453,,BRASIL
761,4202453,,BRASIL
762,4202453,,BRASIL
763,4128203,,BRASIL
764,4213609,,BRASIL
765,4120309,,BRASIL
766,4213609,,BRASIL
767,4128203,,BRASIL
768,4113700,,BRASIL
769,3542206,,BRASIL
770,3202405,,BRASIL
771,4113700,,BRASIL
772,4128534,,BRASIL
773,4113700,,BRASIL
774,4109807,,BRASIL
775,4114807,,BRASIL
776,3161908,,BRASIL
777,4113700,,BRASIL
778,4128534,,BRASIL
779,4128534,,BRASIL
780,4113700,,BRASIL
781,4109500,,BRASIL
782,4113700,,BRASIL
783,4128534,,BRASIL
784,4113700,,BRASIL
785,4127502,,BRASIL
786,4121307,,BRASIL
787,4128534,,BRASIL
788,3523206,,BRASIL
789,4124707,,BRASIL
790,4113700,,BRASIL
791,4113700,,BRASIL
792,4113700,,BRASIL
793,4113700,,BRASIL
794,4113700,,BRASIL
795,4113700,,BRASIL
796,4109807,,BRASIL
797,4122404,,BRASIL
798,4124707,,BRASIL
799,4101507,,BRASIL
800,4124707,,BRASIL
801,4120200,,BRASIL
802,4124301,,BRASIL
803,4113403,,BRASIL
804,5006903,,BRASIL
805,5006903,,BRASIL
806,5006903,,BRASIL
807,5003306,,BRASIL
808,5002704,,BRASIL
809,5003256,,BRASIL
810,5002704,,BRASIL
811,5002951,,BRASIL
812,NI,MATO GROSSO DO SUL,BRASIL
813,5003207,,BRASIL
814,5006903,,BRASIL
815,5006903,,BRASIL
816,5006903,,BRASIL
817,5006903,,BRASIL
818,5006903,,BRASIL
819,5006903,,BRASIL
820,5003207,,BRASIL
821,5005400,,BRASIL
822,5002704,,BRASIL
823,5003207,,BRASIL
824,5005608,,BRASIL
825,5007935,,BRASIL
826,5002704,,BRASIL
827,5007901,,BRASIL
828,5001102,,BRASIL
829,NI,MATO GROSSO DO SUL,BRASIL
830,5002704,,BRASIL
831,5000252,,BRASIL
832,NI,MATO GROSSO DO SUL,BRASIL
833,NI,MATO GROSSO DO SUL,BRASIL
834,5005004,,BRASIL
835,NI,MATO GROSSO DO SUL,BRASIL
836,NI,MATO GROSSO DO SUL,BRASIL
837,NI,MATO GROSSO DO SUL,BRASIL
838,5006903,,BRASIL
839,5006903,,BRASIL
840,NI,MATO GROSSO DO SUL,BRASIL
841,5002704,,BRASIL
842,5008008,,BRASIL
843,NI,MATO GROSSO DO SUL,BRASIL
844,4125506,,BRASIL
845,5005608,,BRASIL
846,5002704,,BRASIL
847,5002951,,BRASIL
848,5007307,,BRASIL
849,5002951,,BRASIL
850,5002704,,BRASIL
851,5002704,,BRASIL
852,NI,MATO GROSSO DO SUL,BRASIL
853,5002704,,BRASIL
854,5002704,,BRASIL
855,5000203,,BRASIL
856,5005004,,BRASIL
857,5001102,,BRASIL
858,5002704,,BRASIL
859,5003207,,BRASIL
860,5006903,,BRASIL
861,5002704,,BRASIL
862,5001102,,BRASIL
863,5002209,,BRASIL
864,5005608,,BRASIL
865,5006903,,BRASIL
866,NI,MATO GROSSO DO SUL,BRASIL
867,5005806,,BRASIL
868,NI,MATO GROSSO DO SUL,BRASIL
869,5005806,,BRASIL
870,5006903,,BRASIL
871,5002209,,BRASIL
872,5006903,,BRASIL
873,5005806,,BRASIL
874,5003207,,BRASIL
875,5002704,,BRASIL
876,5001102,,BRASIL
